id,createdDate,modifiedDate,latitude,longitude,gymAddress,gymName
37,2025-08-10T20:06:36.268744,2025-08-10T20:06:36.268744,37.4860057231492,127.010107986769,서울특별시 서초구 반포대로 63 (서초동",진석빌딩 지하1층),MKG 피트니스
38,2025-08-10T20:06:36.271455,2025-08-10T20:06:36.271455,37.4918506404669,127.025236485997,서울특별시 서초구 사임당로 143  (서초동",(지하1층)),골드헬스클럽
39,2025-08-10T20:06:36.274249,2025-08-10T20:06:36.274249,37.4995883245435,127.01195622147,서울특별시 서초구 서초중앙로 199 (반포동",(지하1층)),플레이핏 앤 필라테스
40,2025-08-10T20:06:36.278541,2025-08-10T20:06:36.278541,37.4723300184587,127.043005236379,서울특별시 서초구 동산로13길 35 (양재동",언남중고공공복합시설 지하중층),언남문화체육센터
41,2025-08-10T20:06:36.283724,2025-08-10T20:06:36.283724,37.4861262360947,127.019172155661,서울특별시 서초구 효령로 321 (서초동",(지하2층)),메가짐&필라퀸&킹골프&펀복싱&메가핏재활아카데미
42,2025-08-10T20:06:36.288456,2025-08-10T20:06:36.288456,37.4961967546591,127.015114339835,서울특별시 서초구 서초대로55길 17  (서초동",",42(2층)),소울앤드바디
43,2025-08-10T20:06:36.292582,2025-08-10T20:06:36.292582,37.4950975274245,127.019422098841,서울특별시 서초구 서초대로 346 (서초동", 지하 1층 101호),이루어GYM 서초점
44,2025-08-10T20:06:36.296002,2025-08-10T20:06:36.296002,37.4682875002518,127.033064735385,서울특별시 서초구 바우뫼로12길 70 (양재동", 더케이서울호텔 지하1층),갤럭시아스포츠클럽 더케이호텔점
45,2025-08-10T20:06:36.298318,2025-08-10T20:06:36.298318,37.486064623049,126.995187234526,서울특별시 서초구 방배로 132", 지하1~2층 (방배동),비나이더 방배점
46,2025-08-10T20:06:36.300670,2025-08-10T20:06:36.300670,37.4769039393292,127.043892850214,서울특별시 서초구 마방로10길 15 (양재동",트윈타워 B동(지1층)),(주)더 파스칼
47,2025-08-10T20:06:36.304038,2025-08-10T20:06:36.304038,37.4862096283726,127.021504447703,서울특별시 서초구 남부순환로339길 72  (서초동",(지1층)),스카이스포츠
48,2025-08-10T20:06:36.309128,2025-08-10T20:06:36.309128,37.4837163548787,127.011991342452,서울특별시 서초구 반포대로 34", 지하1층 (서초동),휘트니스짐
49,2025-08-10T20:06:36.313161,2025-08-10T20:06:36.313161,37.4844741553292,127.036674496114,서울특별시 서초구 남부순환로 2614 (양재동", 한솔로이젠트 B01호),SH메디휘트니스
50,2025-08-10T20:06:36.317753,2025-08-10T20:06:36.317753,37.4954109950647,127.016402306519,서울특별시 서초구 서초중앙로24길 27 (서초동", G-five B112호", B113호),피트니스파이브
51,2025-08-10T20:06:36.324480,2025-08-10T20:06:36.324480,37.5048884433907,127.002280487802,서울특별시 서초구 신반포로 162 (반포동",르본시티 2층),애플짐반포점
52,2025-08-10T20:06:36.327828,2025-08-10T20:06:36.327828,37.4920640182968,127.029795848706,서울특별시 서초구 강남대로 327 (서초동",대륭서초타워(지2층)),휴메이크 휘트니스
53,2025-08-10T20:06:36.332406,2025-08-10T20:06:36.332406,37.4906652237991,127.008612738216,서울특별시 서초구 반포대로 118 (서초동", (지1층)),리스펙짐
54,2025-08-10T20:06:36.338216,2025-08-10T20:06:36.338216,37.4919315087093,126.9831199106,서울특별시 서초구 동작대로 172 (방배동",(4층)),딸기짐
55,2025-08-10T20:06:36.342269,2025-08-10T20:06:36.342269,37.493646552336,126.991189368614,서울특별시 서초구 방배로42길 61  (방배동",(지1층)),마이짐(MY GYM)
56,2025-08-10T20:06:36.344697,2025-08-10T20:06:36.344697,37.4769176597084,127.044786556599,서울특별시 서초구 논현로 79 (양재동",윈드스톤오피스텔(지1층)),더베스트짐
57,2025-08-10T20:06:36.347502,2025-08-10T20:06:36.347502,37.4787820814606,127.039049768403,서울특별시 서초구 강남대로 156-1", 극동빌딩  4",5층 (양재동),피트니스팩토리24
58,2025-08-10T20:06:36.349774,2025-08-10T20:06:36.349774,37.4995524287657,126.99845757986,서울특별시 서초구 서래로 50 (반포동",(3층)),비컴스 피트니스
59,2025-08-10T20:06:36.354717,2025-08-10T20:06:36.354717,37.4878312746356,127.01352253293,서울특별시 서초구 사임당로 32  (서초동",(지1층)),C&S휘트니스
60,2025-08-10T20:06:36.358516,2025-08-10T20:06:36.358516,37.4817448804863,126.996738384466,서울특별시 서초구 효령로31길 10 (방배동",(3층)),어반액티브
61,2025-08-10T20:06:36.360828,2025-08-10T20:06:36.360828,37.4957101117888,126.985532367698,서울특별시 서초구 방배중앙로 187 (방배동", (2",3층)),위아더 휘트니스
62,2025-08-10T20:06:38.573969,2025-08-10T20:06:38.573969,37.4951061375372,126.998164901383,서울특별시 서초구 서래로 2 (반포동", (2층)),Finest Private Gym
63,2025-08-10T20:06:38.579799,2025-08-10T20:06:38.579799,37.5045712985968,127.023590349784,서울특별시 서초구 사평대로 371 (반포동),에이블짐 신논현역
64,2025-08-10T20:06:38.584597,2025-08-10T20:06:38.584597,37.4938815989559,126.993579521315,서울특별시 서초구 동광로 101", 우림빌딩 2층 (방배동),the Fitness LAB
65,2025-08-10T20:06:38.594373,2025-08-10T20:06:38.594373,37.4839431212365,127.023504377489,서울특별시 서초구 남부순환로337가길 33 (서초동),벧쎌RC
66,2025-08-10T20:06:38.599128,2025-08-10T20:06:38.599128,37.4852579365619,126.994860973768,서울특별시 서초구 방배로 127 (방배동", 지하1", 지하2),파인휘트니스
67,2025-08-10T20:06:38.603290,2025-08-10T20:06:38.603290,37.484573287516,126.983403101465,서울특별시 서초구 방배천로 92 (방배동", 세양아르비채102동 1층),에이제이짐
68,2025-08-10T20:06:38.607897,2025-08-10T20:06:38.607897,37.4989604535524,126.99760965781,서울특별시 서초구 사평대로22길 14", 2층 (반포동),옵티멀휘트니스(optimal fitness)
69,2025-08-10T20:06:38.611458,2025-08-10T20:06:38.611458,37.4887143289998,127.029849245333,서울특별시 서초구 남부순환로347길 101 (서초동", 지하1층),(주)그레이트짐
70,2025-08-10T20:06:38.614701,2025-08-10T20:06:38.614701,37.5162644800171,127.010063540612,서울특별시 서초구 잠원로 148 (잠원동", 잠원연합상가 지하1층),드림팩토리(Dream Factory)
71,2025-08-10T20:06:38.617851,2025-08-10T20:06:38.617851,37.4846910958487,127.039805640659,서울특별시 서초구 남부순환로364길 8-15", 동일빌딩 3층 (양재동),부띠끄 피트니스
72,2025-08-10T20:06:38.622070,2025-08-10T20:06:38.622070,37.4911445151256,127.011283315483,서울특별시 서초구 반포대로28길 50", 지하1층 (서초동),김재환짐
73,2025-08-10T20:06:38.625016,2025-08-10T20:06:38.625016,37.4965755766092,127.013293304095,서울특별시 서초구 서초중앙로 166 (서초동", 지하1층),고마워 휘트니스
74,2025-08-10T20:06:38.627237,2025-08-10T20:06:38.627237,37.4825295056019,127.005063878399,서울특별시 서초구 효령로 190", 비선빌딩 지하1층 (서초동),티랩스튜디오 시그니처 서초점
75,2025-08-10T20:06:38.629541,2025-08-10T20:06:38.629541,37.4875690470589,127.004542057229,서울특별시 서초구 명달로 116 (서초동", 2층),G.O PT Studio
