업종,신고번호,상호,시설주소(지번),시설주소(도로명),시설면적(제곱미터),최초등록일자,최근변경일자
체력단련장업,30106-2019-000015,러브유어바디 피티 스튜디오,서울특별시 서초구 서초동 1633-4 ,"서울특별시 서초구 사임당로 115, B209호 (서초동)",68.79,2019-11-28,
체력단련장업,30106-2019-000017,운동하는날,서울특별시 서초구 우면동 7-2 ,"서울특별시 서초구 바우뫼로6길 16, 2층 (우면동)",168.28,2019-12-23,2020-03-09
체력단련장업,30106-2020-000001,바른핏 PT & 필라테스,서울특별시 서초구 서초동 1696-15 베아따빌딩본관 ,"서울특별시 서초구 서초중앙로24길 17, 베아따빌딩본관 지층 (서초동)",217.42,2020-01-23,2024-02-21
체력단련장업,30106-2020-000002,바디스펙트럼,서울특별시 서초구 서초동 1328-11 대우도씨에빛2 ,"서울특별시 서초구 강남대로 359, 대우도씨에빛2 3층 311,312호 (서초동)",116,2020-02-18,2021-05-06
체력단련장업,30106-2020-000003,리버스바디,서울특별시 서초구 서초동 1698-10 ,"서울특별시 서초구 서초대로53길 21, 202호 (서초동)",88.32,2020-02-24,
체력단련장업,30106-2020-000004,(주)빅브로짐 방배점,서울특별시 서초구 방배동 924-20 ,"서울특별시 서초구 방배로 103, 서리풀타워 지하1층 (방배동)",397.02,2020-02-27,2023-12-20
체력단련장업,30106-2020-000005,바디녹스짐,서울특별시 서초구 방배동 795-1 삼호회관 ,"서울특별시 서초구 방배로37길 11, 삼호회관 지하1층 (방배동)",249.25,2020-03-05,
체력단련장업,30106-2020-000006,렛츠피티,서울특별시 서초구 방배동 907-4 하나은행 ,"서울특별시 서초구 방배로 110, 하나은행 지하층 102호 (방배동)",188.43,2020-03-19,2024-03-08
체력단련장업,30106-2020-000007,스포니스 반포점,서울특별시 서초구 잠원동 103 반포역 ,"서울특별시 서초구 신반포로 지하 241, 반포역 지하1층 733-111(일부)호 (잠원동)",62.42,2020-04-29,2020-08-12
체력단련장업,30106-2020-000009,리커버리 퍼스널 트레이닝 센터,서울특별시 서초구 방배동 760-2 후생시설 ,"서울특별시 서초구 방배중앙로 196, 후생시설 지하1호 (방배동)",110.79,2020-06-16,2023-05-11
체력단련장업,30106-2020-000010,아크피티스튜디오,서울특별시 서초구 서초동 1330-8 EWR빌딩 ,"서울특별시 서초구 사임당로 171, EWR빌딩 지하1층 (서초동)",298.21,2020-06-18,
체력단련장업,30106-2020-000011,PT Lab Bangbae,서울특별시 서초구 방배동 858-34 석호빌딩 ,"서울특별시 서초구 방배중앙로 91, 석호빌딩 지하1층 (방배동)",195.32,2020-06-19,
