업종,신고번호,상호,시설주소(지번),시설주소(도로명),시설면적(제곱미터),최초등록일자,최근변경일자
체력단련장업,30106-2023-000003,일생의 피티,서울특별시 서초구 방배동 795-5 복빌딩 ,"서울특별시 서초구 동광로19길 16, 3층 (방배동)",,2023-01-20,
체력단련장업,30106-2023-000004,운동록,서울특별시 서초구 방배동 773-12 세진빌딩 ,"서울특별시 서초구 방배로42길 36-4, 세진빌딩 4층 401호 (방배동)",132.22,2023-03-20,
체력단련장업,30106-2023-000005,헬스보이짐 강남고속버스터미널점,서울특별시 서초구 반포동 19-4 강남고속버스터미널 ,"서울특별시 서초구 신반포로 194, 강남고속버스터미널 본관 1,2층 (반포동)",1272.73,2023-03-23,
체력단련장업,30106-2023-000006,짐 레빗(Gym Revit),서울특별시 서초구 방배동 763-32 가우디빌딩 ,"서울특별시 서초구 방배중앙로29길 21, 가우디빌딩 4층 (방배동)",176.3,2023-03-28,
체력단련장업,30106-2023-000007,서초스포츠센터,서울특별시 서초구 서초동 1325-23 서초스포츠센터 ,"서울특별시 서초구 서운로 123, 서초스포츠센터 (서초동)",2512,2023-04-04,2023-11-10
체력단련장업,30106-2023-000008,롤랜드 헬스클럽PT,서울특별시 서초구 서초동 1492-10 SK빌딩 ,"서울특별시 서초구 명달로13길 4, SK빌딩 301호 (서초동)",112.48,2023-04-14,2023-05-08
체력단련장업,30106-2023-000009,제니바디 교대점,서울특별시 서초구 서초동 1648-2 서초현대아파트 ,"서울특별시 서초구 사임당로19길 10, 지하1층 (서초동, 서초현대아파트)",159.72,2023-05-04,
체력단련장업,30106-2023-000010,에비뉴,서울특별시 서초구 신원동 559 서초 케이타운 오피스텔 ,"서울특별시 서초구 헌릉로 170, 서초 케이타운 오피스텔 지하1층 (신원동)",416,2023-05-08,
체력단련장업,30106-2023-000011,골핏,서울특별시 서초구 방배동 874-1 한국수입협회(KOIMA)빌딩 ,"서울특별시 서초구 방배로 169, 한국수입협회(KOIMA)빌딩 지하1층 (방배동)",455,2023-05-22,
체력단련장업,30106-2023-000012,블랙포스짐 교대점,서울특별시 서초구 서초동 1696-11 서일빌딩 ,"서울특별시 서초구 서초대로53길 10, 서일빌딩 지하1층 (서초동)",287.23,2023-05-24,2023-08-22
체력단련장업,30106-2023-000013,N피티앤필라테스,서울특별시 서초구 우면동 725 네이처프라자 ,"서울특별시 서초구 태봉로 62, 네이처프라자 501호 (우면동)",,2023-06-05,
체력단련장업,30106-2023-000014,에이쓰리짐(a3gym),서울특별시 서초구 서초동 1697-6 백석빌딩 ,"서울특별시 서초구 서초대로53길 28, 백석빌딩 지하2층 (서초동)",172.09,2023-06-09,
체력단련장업,30106-2023-000015,테디짐PT 강남점,서울특별시 서초구 서초동 1332-2 대한무지개종합상가 ,"서울특별시 서초구 사임당로 151, 대한무지개종합상가 3층 301호 (서초동)",72.86,2023-06-15,2024-03-25
체력단련장업,30106-2023-000016,웨이브휘트니스,서울특별시 서초구 서초동 1599-2 LG서초에클라트 ,"서울특별시 서초구 반포대로14길 71, LG서초에클라트 지하1층 (서초동)",494.11,2023-07-05,
체력단련장업,30106-2023-000017,아워피트니스 프리미엄,서울특별시 서초구 방배동 768-3 스퀘어 181 ,"서울특별시 서초구 방배중앙로 181, B1층 (방배동)",199.04,2023-07-24,
체력단련장업,30106-2023-000018,우노짐 잠원,서울특별시 서초구 잠원동 63-34 ,"서울특별시 서초구 신반포로33길 62, 202호 (잠원동)",58.14,2023-08-02,
체력단련장업,30106-2023-000019,머슬메모리,서울특별시 서초구 반포동 735-30 ,"서울특별시 서초구 강남대로83길 24, 2층 (반포동)",132.32,2023-08-04,
체력단련장업,30106-2023-000020,하이브짐(Hive Gym),서울특별시 서초구 서초동 1443-11 해평빌딩 ,"서울특별시 서초구 효령로 330, 해평빌딩 2층 (서초동)",179.55,2023-09-12,
체력단련장업,30106-2023-000021,우리동네운동박사 서초점,서울특별시 서초구 우면동 66-2 우면종합상가 ,"서울특별시 서초구 바우뫼로7길 8, 우면종합상가 3층 305호 (우면동)",68.16,2023-10-18,
체력단련장업,30106-2023-000022,내추럴홍피트니스,서울특별시 서초구 양재동 215 하이브랜드 ,"서울특별시 서초구 매헌로 16, 하이브랜드 3층 301호 (양재동)",235.69,2023-10-25,
체력단련장업,30106-2023-000023,자스민 운동센터,서울특별시 서초구 잠원동 73 ,"서울특별시 서초구 신반포로23길 41, 410호 (잠원동, 신반포2지구아파트)",,2023-11-03,2023-11-23
체력단련장업,30106-2023-000024,움직임 PT Studio,서울특별시 서초구 반포동 91-6 ,"서울특별시 서초구 서래로6길 7, 지하1층 (반포동)",,2023-11-06,
체력단련장업,30106-2023-000025,알앤디 피티 앤 필라테스,서울특별시 서초구 우면동 687 우면삼성프라자-2 ,"서울특별시 서초구 성촌1길 12, 우면삼성프라자-2 401호 (우면동)",,2023-11-08,
체력단련장업,30106-2023-000026,스포애니 남부터미널역점(주)케이디헬스케어,서울특별시 서초구 서초동 1618-6 ,"서울특별시 서초구 서초중앙로8길 51, 지하1층 (서초동)",,2023-11-09,2024-03-26
체력단련장업,30106-2023-000027,휘트니스엠,서울특별시 서초구 서초동 1365-8 ,"서울특별시 서초구 남부순환로 2567, 지하2층 (서초동)",720.45,2023-11-24,
체력단련장업,30106-2023-000028,아워피트니스,서울특별시 서초구 반포동 97-10 97-10 트윈빌 ,"서울특별시 서초구 서래로1길 8, 97-10 트윈빌 지하2층 (반포동)",226.77,2023-11-29,
체력단련장업,30106-2023-000029,FIT.Covery핏커버리,서울특별시 서초구 잠원동 103 반포역 ,"서울특별시 서초구 신반포로 지하 241, 반포역 (잠원동)",357.02,2023-12-04,
체력단련장업,30106-2023-000030,모브핏(Mauve Fit),서울특별시 서초구 방배동 913-8 ,"서울특별시 서초구 효령로27길 20, 2층 (방배동)",,2023-12-06,
체력단련장업,30106-2023-000031,바른길 PT STUDIO,서울특별시 서초구 반포동 577-39 ,"서울특별시 서초구 동광로46길 3, 1층 (반포동)",107.8,2023-12-15,
체력단련장업,30106-2023-000032,서래 퍼스널 트레이닝,서울특별시 서초구 반포동 92-1 ,"서울특별시 서초구 서래로 48, 3층 (반포동)",240.54,2023-12-22,
체력단련장업,30106-2024-000001,아우라짐 논현역점,서울특별시 서초구 반포동 723-1 도충빌딩 ,"서울특별시 서초구 강남대로 519, 도충빌딩 (반포동)",,2024-02-19,
체력단련장업,30106-2024-000002,AL피트니스,서울특별시 서초구 반포동 720-15 ,서울특별시 서초구 사평대로53길 94 (반포동),132.73,2024-02-27,
체력단련장업,30106-2024-000003,아워피트니스 내방점,서울특별시 서초구 방배동 935-40 텔콤빌딩 내방 ,"서울특별시 서초구 방배로 141, 텔콤빌딩 내방 (방배동)",376.57,2024-03-08,
체력단련장업,30106-2024-000004,인사이트 그룹PT 양재역점,서울특별시 서초구 서초동 1364-39 지훈빌딩 ,"서울특별시 서초구 서운로6길 26, 지훈빌딩 지하1층 (서초동)",,2024-04-12,
체력단련장업,30106-2024-000005,스페이스짐,서울특별시 서초구 방배동 3001-1 디오슈페리움2차 ,"서울특별시 서초구 동작대로 108, 지하1층 (방배동, 디오슈페리움2)",213.54,2024-05-08,
체력단련장업,30106-2024-000006,"신사 라이크짐 PT, 필라테스",서울특별시 서초구 잠원동 20-5 인성빌딩 ,"서울특별시 서초구 강남대로 603, 인성빌딩 지하1층 (잠원동)",334.93,2024-05-17,2024-05-31
체력단련장업,30106-2024-000007,애니타임 피트니스,서울특별시 서초구 서초동 1340-1 ,"서울특별시 서초구 효령로 426, 지하1층 (서초동)",163.5,2024-05-27,
체력단련장업,30106-2024-000008,화이트짐 양재점,서울특별시 서초구 양재동 14-1 ,"서울특별시 서초구 강남대로 206, 지하1층 (양재동)",511.69,2024-06-03,
체력단련장업,30106-2024-000009,애플피트니스,서울특별시 서초구 서초동 1515-3 모짜르트홀 101호,"서울특별시 서초구 명달로 104, 모짜르트홀 101호 (서초동)",225.18,2024-06-12,
